type, lat, lon, heading1, heading2, length, width, date processed, filename, date of image, time of image, image resolution, sensor, image bit-depth, security classification, control and handling, number of tips, processing algorithm, note
UNKNOWN, 5.72698, 4.83009, 94.94 , 274.94, 1161.00, 871.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.56158, 5.07348, 70.50 , 250.50, 898.00, 719.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
Greater than 300 GT, 3.99234, 7.29040, 0.00 , 180.00, 533.00, 533.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 4.20247, 6.99346, 45.00 , 225.00, 634.00, 581.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.86729, 4.93649, 45.00 , 225.00, 722.00, 665.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.27010, 4.87738, 80.54 , 260.54, 923.00, 837.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.20164, 4.78837, 144.24 , 324.24, 1140.00, 1018.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.52430, 5.13259, 104.99 , 284.99, 704.00, 599.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.38940, 4.58949, 92.21 , 272.21, 1451.00, 770.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.17452, 5.16319, 94.91 , 274.91, 1393.00, 888.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 4.03708, 5.62076, 6.71 , 186.71, 975.00, 574.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 4.06826, 6.31893, 145.96 , 325.96, 1383.00, 1009.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 1455692.38437, 4.77933, 0.00 , 180.00, 0.00, 0.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.92762, 4.89615, 170.23 , 350.23, 0.00, 0.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.35280, 5.13398, 0.00 , 180.00, 0.00, 0.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.72020, 4.99977, 0.00 , 180.00, 0.00, 0.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.59886, 4.98864, 166.77 , 346.77, 0.00, 0.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.38534, 4.39060, 101.45 , 281.45, 0.00, 0.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.67953, 4.49839, 99.17 , 279.17, 0.00, 0.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.50532, 5.06861, 0.00 , 180.00, 0.00, 0.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.39889, 4.59366, 144.24 , 324.24, 0.00, 0.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 4.45125, 4.87251, 178.97 , 358.97, 0.00, 0.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 4.64376, 5.46081, 178.97 , 358.97, 0.00, 0.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 4.63969, 5.47472, 178.97 , 358.97, 0.00, 0.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 3.93337, 6.41142, 0.00 , 180.00, 0.00, 0.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
