mmsi, lat, lon, timestamp, imo, vesseltypeint, vessel name, callsign, length, width
576298000, -6.84451, 12.4475, 1301158320, 9429637, 70, BOURBON MELTEM, YJVGs  , 55, 11
576298000, -6.84455, 12.4475, 1301158356, 9429637, 70, BOURBON MELTEM, YJVGs  , 55, 11
576298000, -6.84431, 12.4477, 1301158420, 9429637, 70, BOURBON MELTEM, YJVGs  , 55, 11
576298000, -6.84309, 12.4495, 1301158487, 9429637, 70, BOURBON MELTEM, YJVGs  , 55, 11
576300000, 3.93225, 8.56106, 1301158272, 9269867, 52, BONNETTE TIDE, YJVGu, 0, 0
576300000, 3.93466, 8.55851, 1301158320, 9269867, 52, BONNETTE TIDE, YJVGu, 0, 0
576300000, 3.93643, 8.55664, 1301158357, 9269867, 52, BONNETTE TIDE, YJVGu, 0, 0
576300000, 3.93997, 8.55289, 1301158429, 9269867, 52, BONNETTE TIDE, YJVGu, 0, 0
576300000, 3.94233, 8.5504, 1301158477, 9269867, 52, BONNETTE TIDE, YJVGu, 0, 0
576302000, -5.25454, 11.82, 1301158309, 9289661, 52, PATTAROZZI TIDE, YJVGw, 0, 0
576302000, -5.25453, 11.82, 1301158440, 9289661, 52, PATTAROZZI TIDE, YJVGw, 0, 0
576315000, -6.37878, 11.1564, 1301158108, 9224881, 52, MIDWAY TIDE, YJVDw, 0, 0
576315000, -6.37867, 11.1563, 1301158186, 9224881, 52, MIDWAY TIDE, YJVDw, 0, 0
576315000, -6.37857, 11.1562, 1301158246, 9224881, 52, MIDWAY TIDE, YJVDw, 0, 0
576315000, -6.37847, 11.1561, 1301158338, 9224881, 52, MIDWAY TIDE, YJVDw, 0, 0
576315000, -6.3784, 11.1561, 1301158387, 9224881, 52, MIDWAY TIDE, YJVDw, 0, 0
576316000, -5.41802, 11.6592, 1301158114, 0, 90, DB SUPERIOR PRIDE, YJVHw  , 120, 32
576329000, -5.94441, 12.1448, 1301158160, 9510759, 52, NANA TIDE, YJQCt  , 38, 9
576329000, -5.94446, 12.1452, 1301158171, 9510759, 52, NANA TIDE, YJQCt  , 38, 9
576329000, -5.94487, 12.1484, 1301158271, 9510759, 52, NANA TIDE, YJQCt  , 38, 9
576329000, -5.94509, 12.15, 1301158321, 9510759, 52, NANA TIDE, YJQCt  , 38, 9
576329000, -5.94527, 12.1516, 1301158371, 9510759, 52, NANA TIDE, YJQCt  , 38, 9
576329000, -5.94529, 12.152, 1301158381, 9510759, 52, NANA TIDE, YJQCt  , 38, 9
